Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9375;-0.2313;11.3850;;;
0.020;1.8750;-0.3875;11.2500;;;
0.030;2.8000;-0.5375;10.8450;;;
0.040;3.7125;-0.7000;10.1880;;;
0.050;4.6250;-0.8438;9.3420;;;
0.060;5.5375;-0.8625;8.3520;;;
0.070;6.4250;-0.8063;7.2090;;;
0.080;7.2875;-0.6375;5.9490;;;
0.090;8.0875;-0.4688;4.5810;;;
0.100;8.8500;-0.3688;3.1410;;;
0.110;9.5500;-0.3438;1.7010;;;
0.120;10.2250;-0.3438;0.2880;;;
0.130;10.8375;-0.3500;-1.0530;;;
0.140;11.4250;-0.3500;-2.3130;;;
0.150;11.9625;-0.3500;-3.4740;;;
0.160;12.4625;-0.3500;-4.5180;;;
0.170;12.9250;-0.3375;-5.4450;;;
0.180;13.3500;-0.3250;-6.2640;;;
0.190;13.7500;-0.3063;-7.0020;;;
0.200;14.1125;-0.3000;-7.6680;;;
0.210;14.4625;-0.3125;-8.2800;;;
0.220;14.7875;-0.3438;-8.8290;;;
0.230;15.1000;-0.3875;-9.3330;;;
0.240;15.3875;-0.4062;-9.7740;;;
0.250;15.6625;-0.4125;-10.1790;;;
0.260;15.9375;-0.3938;-10.5300;;;
0.270;16.2000;-0.3750;-10.8450;;;
0.280;16.4500;-0.3688;-11.1240;;;
0.290;16.6875;-0.3750;-11.3850;;;
0.300;16.9375;-0.3938;-11.6460;;;
0.310;17.1750;-0.4125;-11.8980;;;
0.320;17.4125;-0.4125;-12.1770;;;
0.330;17.6500;-0.4062;-12.4560;;;
0.340;17.8875;-0.3875;-12.7440;;;
0.350;18.1375;-0.3750;-13.0410;;;
0.360;18.3875;-0.3750;-13.3470;;;
0.370;18.6500;-0.3813;-13.6710;;;
0.380;18.9125;-0.4000;-13.9950;;;
0.390;19.1875;-0.4188;-14.3370;;;
0.400;19.4750;-0.4313;-14.6970;;;
0.410;19.7625;-0.4500;-15.0750;;;
0.420;20.0750;-0.4625;-15.4800;;;
0.430;20.3875;-0.4688;-15.9210;;;
0.440;20.7250;-0.4688;-16.4070;;;
0.450;21.0625;-0.4813;-16.9290;;;
0.460;21.4250;-0.5125;-17.5140;;;
0.470;21.8125;-0.5687;-18.1530;;;
0.480;22.2125;-0.6438;-18.8640;;;
0.490;22.6500;-0.7125;-19.6290;;;
0.500;23.1125;-0.7625;-20.4480;;;
0.510;23.6125;-0.7750;-21.3210;;;
0.520;24.1500;-0.7750;-22.2480;;;
0.530;24.7375;-0.7625;-23.2200;;;
0.540;25.3500;-0.7563;-24.2460;;;
0.550;26.0250;-0.7625;-25.3260;;;
0.560;26.7375;-0.7812;-26.4690;;;
0.570;27.4875;-0.7938;-27.6660;;;
0.580;28.3125;-0.8000;-28.9080;;;
0.590;29.2000;-0.7875;-30.2040;;;
0.600;30.1750;-0.7563;-31.5450;;;
0.610;31.2375;-0.6938;-32.9130;;;
0.620;32.4125;-0.6125;-34.2990;;;
0.630;33.6625;-0.5125;-35.7030;;;
0.640;34.9375;-0.4313;-37.1070;;;
