Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo
0;0;0;20.142
0.01;0.9125;-0.2938;20.385
0.02;1.85;-0.475;20.178
0.03;2.8;-0.6063;19.62
0.04;3.7625;-0.7375;18.801
0.05;4.725;-0.8375;17.757
0.06;5.675;-0.875;16.533
0.07;6.5875;-0.8625;15.138
0.08;7.45;-0.8188;13.608
0.09;8.25;-0.7875;11.997
0.1;9;-0.75;10.386
0.11;9.6875;-0.6625;8.82
0.12;10.325;-0.5563;7.344
0.13;10.9125;-0.4875;5.994
0.14;11.45;-0.4875;4.779
0.15;11.9375;-0.5438;3.708
0.16;12.4;-0.625;2.772
0.17;12.8125;-0.6875;1.944
0.18;13.2;-0.725;1.206
0.19;13.55;-0.7438;0.54
0.2;13.8875;-0.7625;-0.054
0.21;14.2;-0.7812;-0.585
0.22;14.5;-0.8125;-1.053
0.23;14.775;-0.8438;-1.467
0.24;15.0375;-0.8813;-1.827
0.25;15.3;-0.9125;-2.142
0.26;15.55;-0.9438;-2.43
0.27;15.8;-0.9563;-2.718
0.28;16.05;-0.9688;-3.015
0.29;16.3;-0.9813;-3.321
0.3;16.55;-1.0125;-3.645
0.31;16.8;-1.0625;-3.978
0.32;17.0625;-1.1188;-4.32
0.33;17.325;-1.1625;-4.671
0.34;17.6;-1.1813;-5.04
0.35;17.9;-1.1875;-5.427
0.36;18.2;-1.2063;-5.841
0.37;18.5125;-1.2438;-6.282
0.38;18.8375;-1.3063;-6.759
0.39;19.175;-1.3688;-7.281
0.4;19.525;-1.4062;-7.866
0.41;19.9125;-1.4125;-8.514
0.42;20.325;-1.3938;-9.243
0.43;20.7875;-1.375;-10.044
0.44;21.2625;-1.3688;-10.926
0.45;21.7875;-1.375;-11.871
0.46;22.3375;-1.4125;-12.879
0.47;22.925;-1.4688;-13.959
0.48;23.5625;-1.525;-15.093
0.49;24.2625;-1.5688;-16.308
0.5;25.025;-1.5875;-17.586
0.51;25.8375;-1.5813;-18.936
0.52;26.7375;-1.5563;-20.349
0.53;27.7;-1.5188;-21.825
0.54;28.75;-1.4688;-23.346
0.55;29.9;-1.3938;-24.894
0.56;31.1375;-1.3;-26.469
0.57;32.4125;-1.2375;-28.044
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
;;;9
